Step,Acc,Loss
322,0.797,0.7
323,0.797,0.7
324,0.891,0.4
325,0.891,0.4
326,0.828,0.5
327,0.828,0.5
328,0.859,0.47
329,0.859,0.47
330,0.859,0.45
331,0.859,0.45
332,0.797,0.64
333,0.797,0.64
334,0.844,0.5
335,0.844,0.5
336,0.828,0.55
337,0.828,0.55
338,0.844,0.53
339,0.844,0.53
340,0.875,0.47
341,0.875,0.47
342,0.875,0.41
343,0.875,0.41
344,0.859,0.44
345,0.859,0.44
346,0.875,0.44
347,0.875,0.44
348,0.797,0.53
349,0.797,0.53
350,0.844,0.56
351,0.844,0.56
352,0.906,0.47
353,0.906,0.47
354,0.828,0.47
355,0.828,0.47
356,0.859,0.49
357,0.859,0.49
358,0.875,0.44
359,0.875,0.44
360,0.875,0.49
361,0.875,0.49
362,0.953,0.26
363,0.953,0.26
364,0.891,0.39
365,0.891,0.39
366,0.875,0.42
367,0.875,0.42
368,0.875,0.62
369,0.875,0.62
370,0.875,0.41
371,0.875,0.41
372,0.812,0.6
373,0.812,0.6
374,0.812,0.52
375,0.812,0.52
376,0.875,0.48
377,0.875,0.48
378,0.828,0.54
379,0.828,0.54
380,0.906,0.34
381,0.906,0.34
382,0.828,0.52
383,0.828,0.52
384,0.922,0.4
385,0.922,0.4
386,0.922,0.36
387,0.922,0.36
388,0.828,0.54
389,0.828,0.54
390,0.891,0.35
391,0.891,0.35
392,0.859,0.48
393,0.859,0.48
394,0.906,0.38
395,0.906,0.38
396,0.875,0.39
397,0.875,0.39
398,0.906,0.37
399,0.906,0.37
400,0.875,0.37
401,0.875,0.37
402,0.844,0.47
403,0.844,0.47
404,0.906,0.35
405,0.906,0.35
406,0.828,0.55
407,0.828,0.55
408,0.844,0.49
409,0.844,0.49
410,0.875,0.44
411,0.875,0.44
412,0.859,0.44
413,0.859,0.44
414,0.875,0.47
415,0.875,0.47
416,0.938,0.33
417,0.938,0.33
418,0.828,0.47
419,0.828,0.47
420,0.875,0.42
421,0.875,0.42
422,0.812,0.6
423,0.812,0.6
424,0.906,0.45
425,0.906,0.45
426,0.875,0.44
427,0.875,0.44
428,0.891,0.42
429,0.891,0.42
430,0.781,0.59
431,0.781,0.59
432,0.891,0.42
433,0.891,0.42
434,0.891,0.48
435,0.891,0.48
436,0.844,0.45
437,0.844,0.45
438,0.828,0.48
439,0.828,0.48
440,0.891,0.39
441,0.891,0.39
442,0.875,0.37
443,0.875,0.37
444,0.906,0.37
445,0.906,0.37
446,0.859,0.44
447,0.859,0.44
448,0.875,0.42
449,0.875,0.42
450,0.812,0.69
451,0.812,0.69
452,0.828,0.46
453,0.828,0.46
454,0.859,0.54
455,0.859,0.54
456,0.844,0.47
457,0.844,0.47
458,0.906,0.43
459,0.906,0.43
460,0.875,0.4
461,0.875,0.4
462,0.906,0.41
463,0.906,0.41
464,0.859,0.44
465,0.859,0.44
466,0.859,0.44
467,0.859,0.44
468,0.812,0.48
469,0.812,0.48
470,0.859,0.42
471,0.859,0.42
472,0.781,0.73
473,0.781,0.73
474,0.875,0.57
475,0.875,0.57
476,0.828,0.6
477,0.828,0.6
478,0.844,0.47
479,0.844,0.47
480,0.922,0.36
481,0.922,0.36
482,0.812,0.62
483,0.812,0.62
484,0.906,0.34
485,0.906,0.34
486,0.906,0.33
487,0.906,0.33
488,0.891,0.3
489,0.891,0.3
490,0.781,0.62
491,0.781,0.62
492,0.922,0.28
493,0.922,0.28
494,0.922,0.3
495,0.922,0.3
496,0.891,0.27
497,0.891,0.27
498,0.828,0.49
499,0.828,0.49
500,0.906,0.31
501,0.906,0.31
502,0.859,0.5
503,0.859,0.5
504,0.953,0.27
505,0.953,0.27
506,0.797,0.52
507,0.797,0.52
508,0.875,0.38
509,0.875,0.38
510,0.891,0.42
511,0.891,0.42
512,0.875,0.42
513,0.875,0.42
514,0.906,0.37
515,0.906,0.37
516,0.844,0.4
517,0.844,0.4
518,0.812,0.54
519,0.812,0.54
520,0.922,0.32
521,0.922,0.32
522,0.891,0.38
523,0.891,0.38
524,0.828,0.53
525,0.828,0.53
526,0.844,0.46
527,0.844,0.46
528,0.891,0.51
529,0.891,0.51
530,0.844,0.42
531,0.844,0.42
532,0.906,0.33
533,0.906,0.33
534,0.859,0.49
535,0.859,0.49
536,0.938,0.31
537,0.938,0.31
538,0.875,0.47
539,0.875,0.47
540,0.875,0.34
541,0.875,0.34
542,0.812,0.56
543,0.812,0.56
544,0.859,0.38
545,0.859,0.38
546,0.891,0.33
547,0.891,0.33
548,0.859,0.46
549,0.859,0.46
550,0.953,0.33
551,0.953,0.33
552,0.922,0.32
553,0.922,0.32
554,0.891,0.45
555,0.891,0.45
556,0.859,0.5
557,0.859,0.5
558,0.922,0.31
559,0.922,0.31
560,0.891,0.34
561,0.891,0.34
562,0.859,0.4
563,0.859,0.4
564,0.922,0.27
565,0.922,0.27
566,0.875,0.32
567,0.875,0.32
568,0.844,0.41
569,0.844,0.41
570,0.953,0.24
571,0.953,0.24
572,0.828,0.53
573,0.828,0.53
574,0.906,0.42
575,0.906,0.42
576,0.922,0.32
577,0.922,0.32
578,0.906,0.34
579,0.906,0.34
580,0.922,0.39
581,0.922,0.39
582,0.812,0.5
583,0.812,0.5
584,0.938,0.32
585,0.938,0.32
586,0.906,0.37
587,0.906,0.37
588,0.891,0.32
589,0.891,0.32
590,0.875,0.34
591,0.875,0.34
592,0.875,0.35
593,0.875,0.35
594,0.828,0.65
595,0.828,0.65
596,0.859,0.44
597,0.859,0.44
598,0.875,0.4
599,0.875,0.4
600,0.859,0.47
601,0.859,0.47
602,0.922,0.32
603,0.922,0.32
604,0.875,0.38
605,0.875,0.38
606,0.844,0.45
607,0.844,0.45
608,0.797,0.51
609,0.797,0.51
610,0.875,0.37
611,0.875,0.37
612,0.969,0.21
613,0.969,0.21
614,0.906,0.35
615,0.906,0.35
616,0.812,0.4
617,0.812,0.4
618,0.875,0.35
619,0.875,0.35
620,0.938,0.25
621,0.938,0.25
622,0.906,0.3
623,0.906,0.3
624,0.812,0.51
625,0.812,0.51
626,0.922,0.31
627,0.922,0.31
628,0.844,0.49
629,0.844,0.49
630,0.891,0.37
631,0.891,0.37
632,0.828,0.52
633,0.828,0.52
634,0.828,0.46
635,0.828,0.46
636,0.875,0.46
637,0.875,0.46
638,0.922,0.28
639,0.922,0.28
640,0.922,0.34
641,0.922,0.34
642,0.922,0.31
643,0.922,0.31
644,0.891,0.35
645,0.891,0.35
646,0.906,0.34
647,0.906,0.34
648,0.906,0.29
649,0.906,0.29
650,0.844,0.48
651,0.844,0.48
652,0.859,0.45
653,0.859,0.45
654,0.906,0.31
655,0.906,0.31
656,0.938,0.24
657,0.938,0.24
658,0.906,0.35
659,0.906,0.35
660,0.875,0.46
661,0.875,0.46
662,0.953,0.23
663,0.953,0.23
664,0.938,0.23
665,0.938,0.23
666,0.984,0.19
667,0.984,0.19
668,0.828,0.59
669,0.828,0.59
670,0.812,0.57
671,0.812,0.57
672,0.797,0.64
673,0.797,0.64
674,0.875,0.31
675,0.875,0.31
676,0.859,0.44
677,0.859,0.44
678,0.938,0.23
679,0.938,0.23
680,0.844,0.39
681,0.844,0.39
682,0.891,0.36
683,0.891,0.36
684,0.875,0.4
685,0.875,0.4
686,0.922,0.34
687,0.922,0.34
688,0.859,0.4
689,0.859,0.4
690,0.781,0.62
691,0.781,0.62
692,0.844,0.39
693,0.844,0.39
694,0.828,0.42
695,0.828,0.42
696,0.781,0.58
697,0.781,0.58
698,0.812,0.5
699,0.812,0.5
700,0.859,0.34
701,0.859,0.34
702,0.906,0.4
703,0.906,0.4
704,0.906,0.36
705,0.906,0.36
706,0.859,0.48
707,0.859,0.48
708,0.953,0.29
709,0.953,0.29
710,0.859,0.37
711,0.859,0.37
712,0.844,0.44
713,0.844,0.44
714,0.938,0.32
715,0.938,0.32
716,0.875,0.39
717,0.875,0.39
718,0.844,0.45
719,0.844,0.45
720,0.875,0.4
721,0.875,0.4
722,0.906,0.29
723,0.906,0.29
724,0.891,0.42
725,0.891,0.42
726,0.906,0.27
727,0.906,0.27
728,0.875,0.5
729,0.875,0.5
730,0.953,0.24
731,0.953,0.24
732,0.938,0.29
733,0.938,0.29
734,0.875,0.36
735,0.875,0.36
736,0.875,0.28
737,0.875,0.28
738,0.906,0.37
739,0.906,0.37
740,0.891,0.37
741,0.891,0.37
742,0.906,0.33
743,0.906,0.33
744,0.875,0.27
745,0.875,0.27
746,0.844,0.62
747,0.844,0.62
748,0.906,0.34
749,0.906,0.34
750,0.891,0.32
751,0.891,0.32
752,0.938,0.28
753,0.938,0.28
754,0.812,0.49
755,0.812,0.49
756,0.906,0.42
