Step,Acc,Loss
322,0.844,0.47
323,0.844,0.47
324,0.844,0.47
325,0.844,0.47
326,0.852,0.44
327,0.852,0.44
328,0.852,0.49
329,0.852,0.49
330,0.898,0.36
331,0.898,0.36
332,0.914,0.32
333,0.914,0.32
334,0.867,0.43
335,0.867,0.43
336,0.844,0.49
337,0.844,0.49
338,0.906,0.37
339,0.906,0.37
340,0.836,0.48
341,0.836,0.48
342,0.828,0.5
343,0.828,0.5
344,0.875,0.42
345,0.875,0.42
346,0.875,0.45
347,0.875,0.45
348,0.859,0.43
349,0.859,0.43
350,0.938,0.29
351,0.938,0.29
352,0.914,0.41
353,0.914,0.41
354,0.922,0.42
355,0.922,0.42
356,0.883,0.46
357,0.883,0.46
358,0.828,0.51
359,0.828,0.51
360,0.883,0.39
361,0.883,0.39
362,0.828,0.53
363,0.828,0.53
364,0.867,0.43
365,0.867,0.43
366,0.906,0.37
367,0.906,0.37
368,0.891,0.4
369,0.891,0.4
370,0.891,0.35
371,0.891,0.35
372,0.883,0.46
373,0.883,0.46
374,0.938,0.29
375,0.938,0.29
376,0.961,0.28
377,0.961,0.28
378,0.867,0.54
379,0.867,0.54
380,0.859,0.49
381,0.859,0.49
382,0.953,0.29
383,0.953,0.29
384,0.883,0.41
385,0.883,0.41
386,0.836,0.48
387,0.836,0.48
388,0.836,0.49
389,0.836,0.49
390,0.805,0.52
391,0.805,0.52
392,0.914,0.32
393,0.914,0.32
394,0.867,0.5
395,0.867,0.5
396,0.906,0.36
397,0.906,0.36
398,0.867,0.43
399,0.867,0.43
400,0.922,0.36
401,0.922,0.36
402,0.922,0.31
403,0.922,0.31
404,0.906,0.38
405,0.906,0.38
406,0.898,0.38
407,0.898,0.38
408,0.922,0.35
409,0.922,0.35
410,0.875,0.36
411,0.875,0.36
412,0.891,0.42
413,0.891,0.42
414,0.922,0.34
415,0.922,0.34
416,0.883,0.46
417,0.883,0.46
418,0.797,0.57
419,0.797,0.57
420,0.922,0.32
421,0.922,0.32
422,0.898,0.37
423,0.898,0.37
424,0.898,0.37
425,0.898,0.37
426,0.867,0.36
427,0.867,0.36
428,0.867,0.48
429,0.867,0.48
430,0.844,0.45
431,0.844,0.45
432,0.82,0.53
433,0.82,0.53
434,0.859,0.45
435,0.859,0.45
436,0.852,0.51
437,0.852,0.51
438,0.875,0.45
439,0.875,0.45
440,0.875,0.41
441,0.875,0.41
442,0.859,0.49
443,0.859,0.49
444,0.898,0.42
445,0.898,0.42
446,0.867,0.46
447,0.867,0.46
448,0.828,0.54
449,0.828,0.54
450,0.891,0.37
451,0.891,0.37
452,0.859,0.57
453,0.859,0.57
454,0.922,0.28
455,0.922,0.28
456,0.891,0.32
457,0.891,0.32
458,0.891,0.44
459,0.891,0.44
460,0.859,0.48
461,0.859,0.48
462,0.844,0.45
463,0.844,0.45
464,0.883,0.37
465,0.883,0.37
466,0.898,0.33
467,0.898,0.33
468,0.898,0.38
469,0.898,0.38
470,0.875,0.45
471,0.875,0.45
472,0.867,0.42
473,0.867,0.42
474,0.883,0.42
475,0.883,0.42
476,0.906,0.29
477,0.906,0.29
478,0.844,0.47
479,0.844,0.47
480,0.93,0.28
481,0.93,0.28
482,0.859,0.44
483,0.859,0.44
484,0.859,0.44
485,0.859,0.44
486,0.875,0.41
487,0.875,0.41
488,0.859,0.43
489,0.859,0.43
490,0.891,0.42
491,0.891,0.42
492,0.789,0.59
493,0.789,0.59
494,0.859,0.5
495,0.859,0.5
496,0.875,0.39
497,0.875,0.39
498,0.859,0.45
499,0.859,0.45
500,0.883,0.4
501,0.883,0.4
502,0.891,0.34
503,0.891,0.34
504,0.883,0.36
505,0.883,0.36
506,0.898,0.32
507,0.898,0.32
508,0.867,0.36
509,0.867,0.36
510,0.875,0.37
511,0.875,0.37
512,0.922,0.31
513,0.922,0.31
514,0.805,0.59
515,0.805,0.59
516,0.883,0.37
517,0.883,0.37
518,0.852,0.46
519,0.852,0.46
520,0.844,0.43
521,0.844,0.43
522,0.867,0.44
523,0.867,0.44
524,0.914,0.35
525,0.914,0.35
526,0.906,0.39
527,0.906,0.39
528,0.883,0.34
529,0.883,0.34
530,0.898,0.38
531,0.898,0.38
532,0.914,0.31
533,0.914,0.31
534,0.883,0.4
535,0.883,0.4
536,0.836,0.42
537,0.836,0.42
538,0.867,0.48
539,0.867,0.48
540,0.891,0.34
541,0.891,0.34
542,0.906,0.3
543,0.906,0.3
544,0.906,0.29
545,0.906,0.29
546,0.891,0.35
547,0.891,0.35
548,0.891,0.39
549,0.891,0.39
550,0.922,0.3
551,0.922,0.3
552,0.961,0.26
553,0.961,0.26
554,0.898,0.29
555,0.898,0.29
556,0.93,0.27
557,0.93,0.27
558,0.891,0.34
559,0.891,0.34
560,0.875,0.43
561,0.875,0.43
562,0.898,0.38
563,0.898,0.38
564,0.914,0.26
565,0.914,0.26
566,0.883,0.35
567,0.883,0.35
568,0.867,0.33
569,0.867,0.33
570,0.859,0.42
571,0.859,0.42
572,0.898,0.35
573,0.898,0.35
574,0.906,0.37
575,0.906,0.37
576,0.828,0.46
577,0.828,0.46
578,0.938,0.28
579,0.938,0.28
580,0.867,0.42
581,0.867,0.42
582,0.914,0.28
